DIA,SEMANA,numero
02/07/2020,162,1132
02/08/2020,162,1133
02/09/2020,163,1134
02/10/2020,163,1135
02/11/2020,163,1136
02/12/2020,163,1137
02/13/2020,163,1138
02/14/2020,163,1139
02/15/2020,163,1140
02/16/2020,164,1141
02/17/2020,164,1142
02/18/2020,164,1143
02/19/2020,164,1144
02/20/2020,164,1145
02/21/2020,164,1146
02/22/2020,164,1147
02/23/2020,165,1148
02/24/2020,165,1149
02/25/2020,165,1150
02/26/2020,165,1151
02/27/2020,165,1152
02/28/2020,165,1153
02/29/2020,165,1154
03/01/2020,166,1155
03/02/2020,166,1156
03/03/2020,166,1157
03/04/2020,166,1158
03/05/2020,166,1159
03/06/2020,166,1160
03/07/2020,166,1161
03/08/2020,167,1162
03/09/2020,167,1163
03/10/2020,167,1164
03/11/2020,167,1165
03/12/2020,167,1166
03/13/2020,167,1167
03/14/2020,167,1168
03/15/2020,168,1169
03/16/2020,168,1170
03/17/2020,168,1171
03/18/2020,168,1172
03/19/2020,168,1173
03/20/2020,168,1174
03/21/2020,168,1175
03/22/2020,169,1176
03/23/2020,169,1177
03/24/2020,169,1178
03/25/2020,169,1179
03/26/2020,169,1180
03/27/2020,169,1181
03/28/2020,169,1182
03/29/2020,170,1183
03/30/2020,170,1184
03/31/2020,170,1185
04/01/2020,170,1186
04/02/2020,170,1187
04/03/2020,170,1188
04/04/2020,170,1189
04/05/2020,171,1190
04/06/2020,171,1191
04/07/2020,171,1192
04/08/2020,171,1193
04/09/2020,171,1194
04/10/2020,171,1195
04/11/2020,171,1196
04/12/2020,172,1197
04/13/2020,172,1198
04/14/2020,172,1199
04/15/2020,172,1200
04/16/2020,172,1201
04/17/2020,172,1202
04/18/2020,172,1203
04/19/2020,173,1204
04/20/2020,173,1205
04/21/2020,173,1206
04/22/2020,173,1207
04/23/2020,173,1208
04/24/2020,173,1209
04/25/2020,173,1210
04/26/2020,174,1211
04/27/2020,174,1212
04/28/2020,174,1213
04/29/2020,174,1214
04/30/2020,174,1215
05/01/2020,174,1216
05/02/2020,174,1217
05/03/2020,175,1218
05/04/2020,175,1219
05/05/2020,175,1220
05/06/2020,175,1221
05/07/2020,175,1222
05/08/2020,175,1223
05/09/2020,175,1224
05/10/2020,176,1225
05/11/2020,176,1226
05/12/2020,176,1227
05/13/2020,176,1228
05/14/2020,176,1229
05/15/2020,176,1230
05/16/2020,176,1231
05/17/2020,177,1232
05/18/2020,177,1233
05/19/2020,177,1234
05/20/2020,177,1235
05/21/2020,177,1236
05/22/2020,177,1237
05/23/2020,177,1238
05/24/2020,178,1239
05/25/2020,178,1240
05/26/2020,178,1241
05/27/2020,178,1242
